enrollment,phase_numeric,duration_days,enrollment_log,start_year,era,n_interventions,n_drugs,has_biological,has_radiation,is_combination,is_industry,moa_chemo_nucleoside,moa_chemo_fluoropyrimidine,moa_chemo_platinum,moa_chemo_taxane,moa_chemo_topoisomerase,moa_chemo_combination,moa_chemo_alkylating,moa_targeted_egfr,moa_targeted_vegf,moa_immuno_checkpoint,moa_immuno_oncolytic,moa_immuno_cell_therapy,moa_targeted_mtor,moa_stroma_targeting,moa_targeted_il6,moa_anti_inflammatory,moa_anticoagulant,moa_other,moa_unknown,moa_chemo_antimetabolite,moa_targeted_her2,moa_targeted_ras_mapk,moa_targeted_pi3k_akt,moa_targeted_hedgehog,moa_targeted_parp,moa_targeted_igf1r,moa_targeted_src,moa_targeted_hsp90,moa_targeted_adc,moa_targeted_autophagy,moa_immuno_vaccine,moa_immuno_cytokine,moa_somatostatin_analog,moa_supportive,moa_diagnostic,moa_control,elig_kras_required,elig_brca_required,elig_pdl1_required,elig_her2_required,elig_msi_required,elig_biomarker_any,elig_resectable,elig_unresectable,elig_metastatic,elig_locally_advanced,elig_adjuvant,elig_ecog_strict,elig_first_line,elig_second_line,elig_ca199
655.0,3.0,1366.0,6.486160788944089,2017,2,2,2.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
190.0,3.0,2497.0,5.25227342804663,2000,0,3,3.0,0.0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0
17.0,3.0,184.0,2.8903717578961645,2008,0,2,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.0,2.0,1645.0,3.9889840465642745,2004,0,3,2.0,1.0,0.0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
279.0,2.0,1961.0,5.634789603169249,2013,1,5,5.0,0.0,0.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1600.0,3.0,1095.0,7.3783837129967145,2004,0,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.0,2.0,2254.0,4.1588830833596715,2010,0,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
71.0,1.5,2038.0,4.276666119016055,2008,0,1,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
546.0,3.0,1065.0,6.304448802421981,2007,0,3,3.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
353.0,3.0,1375.0,5.869296913133774,2008,0,3,3.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
